kings	Karalis.
šahta	Apakšzemes un virszemes būvju, ietaišu sistēma derīgo izrakteņu (parasti ogļu) ieguvei; kalnrūpniecības uzņēmuma ražošanas vienība, kas izmanto šādu sistēmu.
lesis	Kaut kas liels, tauks, krietns pēc dabas.
ķagas	Tjagas - stūres stieņi (automašīnai).
gļeve	Gluma, slidena masa.
zompa	Netīrs ūdens.
sērms	Rijas pažobele, kur saved seru.
klors	Hlors.
vēķis	Tas, kas vēkšķ.
astra	Astere.
tvana	Tvans.
svičs	Komutators.
čegus	Čuprs, skausts; čega.
onnia	Himenohēšu dzimtas ģints.
omaša	Oma.
ajēga	Nejēga; vientiesīgs cilvēks.
žands	Zods.
vinta	Vītne.
sunna	Islāma tekstu krājums, kurā ietilpst leģendas par Muhamedu, kā arī korāna papildinājumi un iztulkojumi.
meloe	Eļļasvaboļu dzimtas ģints.
šķīla	Plaisa.
lumza	Neveiklis.
rēkls	Strīdīgs, naidīgs.
balsa	Divdīgļlapju klases dilēniju apakšklases malvu rindas kapoku dzimtas suga ("Ochroma lagopus"), koks ar vieglu, stipru koksni (balsaskoks); izplatīta gk. Amerikas tropos.
pusne	Sniega kupena; pusnis.
venta	Karbonāru organizācija un pulcēšanās vieta Francijā un Spānijā.
švīta	Svītra.
drena	Apakšzemes cauruļvads gruntsūdens novadīšanai vai tā līmeņa pazemināšanai.
kasta	Noslēgta sabiedrības grupa (piemēram, Indijā), ko vieno noteikta nodarbošanās un priekšstats par kopēju izcelšanos.
mēzis	Mēslotājs.
seiša	Liela perioda stāvvilnis noslēgtās ūdenstilpēs (jūrās, ezeros, līčos).
aguts	Zeltzaķis jeb kuprzaķis - grauzējs ar ļoti īsu asti; mīt Dienvidamerikā un Centrālamerikā.
ģebra	Ģeometrija (mācību priekšmets).
žvega	Rīkste (gara).
praša	Prasme.
breks	Kaut kas nederīgs, nelāgs, nevajadzīgs, veltīgs.
steps	Punduris.
žmuls	Vīstoklis.
glods	Glums.
sekas	Parādība, ko nepieciešami rada, izraisa cita parādība.
mārša	Jūras piekrastes applūduma josla, kas pārplūst tikai lielāko paisumu un vējuzplūdu laikā.
gulis	Gulētājs.
biota	Platzari - šīs ciprešu ģints nosaukuma sinonīms.
tprus	Sauciens, ar ko liek zirgam apstāties.
makja	Mūžam zaļš cietlapju krūmājs Vidusjūras apgabalā.
brūns	Tāds, kam ir, piemēram, šokolādes, grauzdētas kafijas krāsa.
gloma	Glome - plūme, arī plūmveidīgs auglis.
mimra	Nesimpātisks, garlaicīgs, arī saīdzis cilvēks.
feods	Zemes īpašums, ko vasalis saņēma valdījumā no sava senjora; lēnis.
špīle	Spēle (sportā).
dacne	Piepjvaboļu dzimtas ģints.
čunča	Kāds, kas ir satuntulējies, ietinies.
torss	Cilvēka rumpis.
plita	Plīts.
sakša	Sagša.
lepus	Zaķu dzimtas ģints.
leška	Matu lēšķe.
pelte	Peļķe.
staga	Stāvošas takelāžas tauva, kas no mastu augšgala vai tā pagarinājuma stiepjas slīpi uz apakšu un priekšu, noturot mastu no priekšas.
menge	Sīknauda Mongolijā, tugrika simtdaļa.
sauņa	Sauja.
drāts	Stieple.
vares	Pūles.
svaņa	Smaka.
glise	Suņu, govju ērce.
torps	Kūdra.
gauza	Pļāpa, gvelža.
āveša	Ezoterismā iemiesošanās cita cilvēka ķermenī.
asens	Asinis.
melle	Melns lakats, melna vilnas drāna.
diaea	Krabjzirnekļu dzimtas ģints.
pūsna	Pūsma.
špuks	Lieto ātras kustības raksturošanai.
gruža	Gruveši, drupas, atliekas.
ateja	Telpa, arī īpaša neliela ēka dabisko vajadzību nokārtošanai; tualete.
gurķe	Sliņķe.
atlas	Atlass 2.
dorva	Darva.
kalpa	Laika vienība hinduismā, ko veido dievu diena un nakts, ilgst 8640 miljonus gadu; sīkāk dalās jugās.
bogls	Bailīgs, nedrošs; tramīgs.
hebra	Bars; kompānija.
ieeja	Vieta, kura paredzēta iekļūšanai vai pa kuru var iekļūt (kur iekšā).
acība	Asa redze, uzmanība.
mulča	Materiāls, piemēram, kūdra, zāģskaidas, ruberoīds, ko izmanto augsnes pārklāšanai, lai, piemēram, paaugstinātu tās temperatūru, mazinātu iztvaikošanu, iznīcinātu nezāles.
kaurs	Papuve vai ciņaina ganība.
masns	Ātrs, žigls, veicīgs.
maita	Meita.
salka	Bads, kāre.
tripa	Lieto atkārtojumā, lai raksturotu ritmiskas skaņas.
silfs	Ķeltu un ģermāņu mitoloģijā - gaisa stihiju personificējošs gars vieglas, kustīgas vīriešu vai sieviešu dzimuma būtnes veidolā.
šinka	Dzertuve.
gnome	Gnoma.
znaja	Zināšanas.
bonza	Budistu priesteris un mūks (Japānā, Ķīnā).
čūlis	Četrinieks (atzīme skolā).
čikle	Kāda sapotu dzimtas koka sacietējusi piensula, ko izmanto kožļājamās gumijas ražošanā.
blīkš	Lieto, lai atdarinātu spēcīgu un spalgu, īslaicīgu troksni, kas rodas, piemēram, smagam priekšmetam strauji atsitoties pret ko cietu, strauji aizverot durvis.
nasts	Nasta.
binte	Pārsējs; marles saite.
klēga	Rīkle, elpvads, balsene.
osiņa	Dem. --> osa 1(1).
amūrs	Karpu dzimtas zivs, ātraudzīgas, līdz 30 kg.
sēles	Siekalas.
drūza	Kristālu grupa, to saaugums.
amaka	Lamuvārds (sacīts par zirgu).
sāles	Balandaugu dzimtas ģints, vienmājnieki ar pusvelteniskām, gaļīgām lapām un zaļiem, pa 1-3 lapu žākļos novietotiem ziediem, apziednis ar piecām biezām, gaļīgām, zaļām daļām; zviedres.
pepis	Šekums.
jiema	Plāns ledus.
botes	Sieviešu vai bērnu ziemas apavi, ko parasti valkā virs kurpēm un kas aptver pēdu arī no virspuses.
borka	Koka miza.
akota	Akots.
grāvs	Grāvis.
plēme	Plēve.
lards	Lords.
