dowve	A dove.
slype	A narrow passage between two buildings, as between the transept and chapter house of a monastery.
unkle	See Uncle.
widwe	A widow.
barth	A place of shelter for cattle.
cubit	The forearm; the ulna, a bone of the arm extending from elbow to wrist.
batik	A dyed fabric with designs drawn on by applying a removable wax where the dye is not wanted.
eirie	See Aerie, and Eyrie.
grade	A step or degree in any series, rank, quality, order; relative position or standing; as, grades of military rank; crimes of every grade; grades of flour.
ploce	A figure in which a word is separated or repeated by way of emphasis, so as not only to signify the individual thing denoted by it, but also its peculiar attribute or quality; as, <ldquo/His wife's a wife indeed.<rdquo/
tazza	An ornamental cup or vase with a large, flat, shallow bowl, resting on a pedestal and often having handles.
airol	A grayish green antiseptic powder, consisting of a basic iodide and gallate of bismuth, sometimes used in place of iodoform.
benne	The name of two plants (Sesamum orientale and Sesamum indicum), originally Asiatic; -- also called oil plant. From their seeds an oil is expressed, called benne oil or sesame oil, used mostly for making soap. In the southern United States the seeds are used in candy.
helix	A nonplane curve whose tangents are all equally inclined to a given plane. The common helix is the curve formed by the thread of the ordinary screw. It is distinguished from the spiral, all the convolutions of which are in the plane.
laser	A device which produces an intense, usually narrow, monochromatic beam of coherent light; called also optical maser.  It has various forms, and is used in various applications in science and technology.  The beam is produced by boosting the majority of the electrons in specific radiation-absorbing atoms in a medium into a higher energy level, from which they are stimulated by their own emitted radiation to drop back synchronously to their lower energy level, and emit light which is in phase (coherent).
medic	A person who serves to provide medical care.
polka	A dance of Polish origin, but now common everywhere. It is performed by two persons in common time.
adept	One fully skilled or well versed in anything; a proficient; as, adepts in philosophy.
glist	Glimmer; mica.
scope	That at which one aims; the thing or end to which the mind directs its view; that which is purposed to be reached or accomplished; hence, ultimate design, aim, or purpose; intention; drift; object.
helot	A slave in ancient Sparta; a Spartan serf; hence, a slave or serf.
knubs	Waste silk formed in winding off the threads from a cocoon.
morph	A sequence of phonemes, often a word fragment, which constitutes the minimum unit of meaning or syntax within a given word.  A morph may be one of several variants of a morpheme, depending for its individal form on the context in which it occurs.  Thus the morphs -s and -es are variants of the morpheme by which the plural form of an English noun is expressed.
terry	A kind of heavy colored fabric, either all silk, or silk and worsted, or silk and cotton, often called terry velvet, used for upholstery and trimmings.
